permit_type,destination,access,days,source_url,notes,permit_source_last_verified
Valid US Visa (B1/B2),Albania,vf,90,https://punetejashtme.gov.al,Multi-entry US visa that has been used at least once. 90 days in 180-day period.,April 2026
Valid US Visa (B1/B2),Serbia,vf,90,https://www.mfa.gov.rs/en/citizens/travel-serbia/visa-requirements,Valid US visa or residence permit. 90 days in 6-month period.,April 2026
Valid US Visa (B1/B2),Montenegro,vf,30,https://www.gov.me,Valid US visa allows entry up to 30 days,April 2026
Valid US Visa (B1/B2),Bosnia and Herzegovina,vf,30,https://bhmc.ae/visa-information/,Multi-entry US visa. Stay up to 30 days.,April 2026
Valid US Visa (B1/B2),Egypt,voa,30,https://visa2egypt.gov.eg,Visa on arrival at select airports for holders of valid US/UK/Schengen visa. Not guaranteed — at immigration officer discretion.,April 2026
Valid US Visa (B1/B2),Bahrain,voa,14,https://www.evisa.gov.bh,"VoA available for holders of valid US visa, or apply for eVisa at evisa.gov.bh",April 2026
Valid US Visa (B1/B2),Singapore,vf,4,https://www.ica.gov.sg/enter-transit-depart/entering-singapore/visa_requirements,96-hour Visa-Free Transit Facility (VFTF). Must be transiting through Singapore by air with onward ticket within 96 hours. Not for stays without onward travel.,April 2026
Valid Schengen Visa,Turkey,ev,30,https://www.evisa.gov.tr,e-visa via evisa.gov.tr with valid Schengen visa,April 2026
Valid Schengen Visa,Georgia,vf,90,https://geoconsul.gov.ge,,April 2026
Valid Schengen Visa,Mexico,vf,180,https://www.inm.gob.mx,,April 2026
Valid Schengen Visa,Colombia,vf,90,https://www.migracioncolombia.gov.co,,April 2026
Valid Schengen Visa,Panama,vf,30,https://www.migracion.gob.pa,,April 2026
Valid Schengen Visa,Costa Rica,vf,30,https://www.migracion.go.cr,,April 2026
Valid Schengen Visa,Albania,vf,90,https://punetejashtme.gov.al,"Multi-entry Schengen visa, used at least once",April 2026
Valid Schengen Visa,Serbia,vf,90,https://www.mfa.gov.rs/en/citizens/travel-serbia/visa-requirements,,April 2026
Valid Schengen Visa,Montenegro,vf,30,https://www.gov.me,,April 2026
Valid Schengen Visa,Bosnia and Herzegovina,vf,30,https://bhmc.ae/visa-information/,,April 2026
Valid Schengen Visa,Egypt,voa,30,https://visa2egypt.gov.eg,Visa on arrival at select airports. Not guaranteed — officer discretion.,April 2026
Valid Schengen Visa,Singapore,vf,4,https://www.ica.gov.sg,96-hour VFTF. Only Schengen visas issued by Germany or Switzerland qualify. Must be transiting by air with onward ticket.,April 2026
Schengen Residence Permit,Turkey,ev,30,https://www.evisa.gov.tr,,April 2026
Schengen Residence Permit,Georgia,vf,90,https://geoconsul.gov.ge,,April 2026
Schengen Residence Permit,Mexico,vf,180,https://www.inm.gob.mx,,April 2026
Schengen Residence Permit,Colombia,vf,90,https://www.migracioncolombia.gov.co,,April 2026
Schengen Residence Permit,Panama,vf,30,https://www.migracion.gob.pa,,April 2026
Schengen Residence Permit,Costa Rica,vf,30,https://www.migracion.go.cr,,April 2026
Schengen Residence Permit,Albania,vf,90,https://punetejashtme.gov.al,,April 2026
Schengen Residence Permit,Serbia,vf,90,https://www.mfa.gov.rs/en/citizens/travel-serbia/visa-requirements,,April 2026
Schengen Residence Permit,Montenegro,vf,30,https://www.gov.me,,April 2026
Schengen Residence Permit,Bosnia and Herzegovina,vf,30,https://bhmc.ae/visa-information/,,April 2026
Schengen Residence Permit,Egypt,voa,30,https://visa2egypt.gov.eg,Visa on arrival at select airports. Officer discretion.,April 2026
UK Residence Permit (BRP),Turkey,ev,30,https://www.evisa.gov.tr,e-visa via evisa.gov.tr with valid UK visa/BRP,April 2026
UK Residence Permit (BRP),Georgia,vf,90,https://geoconsul.gov.ge,,April 2026
UK Residence Permit (BRP),Mexico,vf,180,https://www.inm.gob.mx,,April 2026
UK Residence Permit (BRP),Panama,vf,30,https://www.migracion.gob.pa,,April 2026
UK Residence Permit (BRP),Albania,vf,90,https://punetejashtme.gov.al,"Multi-entry UK visa/BRP, used at least once",April 2026
UK Residence Permit (BRP),Serbia,vf,90,https://www.mfa.gov.rs/en/citizens/travel-serbia/visa-requirements,,April 2026
UK Residence Permit (BRP),Montenegro,vf,30,https://www.gov.me,,April 2026
UK Residence Permit (BRP),Egypt,voa,30,https://visa2egypt.gov.eg,Visa on arrival at select airports. Not guaranteed.,April 2026
UK Residence Permit (BRP),Singapore,vf,4,https://www.ica.gov.sg,96-hour VFTF for UK visa/BRP holders transiting by air with onward ticket.,April 2026
Canada Permanent Resident,Georgia,vf,90,https://geoconsul.gov.ge,,April 2026
Canada Permanent Resident,Mexico,vf,180,https://www.inm.gob.mx,,April 2026
Canada Permanent Resident,Costa Rica,vf,30,https://www.migracion.go.cr,,April 2026
Canada Permanent Resident,Panama,vf,30,https://www.migracion.gob.pa,,April 2026
Canada Permanent Resident,Albania,vf,90,https://punetejashtme.gov.al,,April 2026
Canada Permanent Resident,Singapore,vf,4,https://www.ica.gov.sg,96-hour VFTF for Canada permanent residents transiting by air with onward ticket.,April 2026
